text,intent,maturity_score,entities,category,metadata
‘Digital transformation strategies’.,Organizational Change,0.54,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Journal of Management Studies published by Society for the Advancement of Management 
Studies and John Wiley & Sons Ltd
DT perspective
Phenomenological advancement
Theoretical advancement
Systemic shift
•	 How do new digital organizational forms (such as platform-en-
abled peer-to-peer networks) emerge and become institution-
alized across contexts?",Organizational Change,1.0,"[('Journal of Management Studies', 'ORG'), ('Society for the Advancement of Management \nStudies', 'ORG'), ('John Wiley & Sons Ltd', 'PERSON')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"In 
general, these studies do not provide insights about how organizations arrive at malleable 
organizational designs but reveal particular forces from digital business ecosystems that 
alter certain parts of organizations.",others,4.0,[],Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
‘The digital transformation of traditional business’.,Organizational Change,0.16,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Thus, we define DT as organizational change that is triggered and shaped by the wide-
spread diffusion of  digital technologies.",organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Thus, the focus of many past 
studies on change within an organization, e.g., in relation to the adoption and use of en-
terprise IT systems (e.g., Volkoff et al., 2007), seems insufficient.",Et Al,0.14,"[('Volkoff et al.', 'PERSON'), ('2007', 'DATE')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Linking our findings to the established knowledge on organizational change, we diagnose 
that DT can be best understood as continuous change that can be triggered and shaped by 
episodic bursts, while the latter are inducing further continuous change.",organizational_architecture,1.0,"[('DT', 'WORK_OF_ART')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Some studies in our consideration set put more emphasis on 
change processes driven by developments outside of a firm’s direct area of control, such 
as the increasing diffusion of AI, robotics and the Internet, and described their effect 
on organizational design, without dealing in detail with the intra-organizational change 
involved to bring about these effects (e.g., Evans, 2017).",organizational_architecture,4.0,"[('AI', 'TECHNOLOGY'), ('Evans', 'PERSON'), ('2017', 'DATE')]",Technology and Infrastructure,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Therefore, in this study, we set out to 
clarify the boundary conditions for investigating DT from the perspective of organizational 
change by conducting a systematic review, synthesis and abstraction of what is known about 
DT and relating these insights to the established body of knowledge in the field.",others,1.0,"[('DT', 'WORK_OF_ART')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
‘Digital transformation: Opportunities to create new business models’.,Organizational Change,0.16,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"IMPLICATIONS
Digital Transformation and the Nature of Change
According to Poole (2004) the nature of change ‘defines how one divides the field of or-
ganizational change and innovation theories.",Organizational Change,0.16,"[('Digital Transformation', 'ORG'), ('Poole', 'PERSON'), ('2004', 'DATE'), ('one', 'CARDINAL')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"On the 
basis of 279 articles, we provide a multi-dimensional framework synthesizing what is known 
about DT and discern two important thematical patterns: DT is moving firms to malleable 
organizational designs that enable continuous adaptation, and this move is embedded in and 
driven by digital business ecosystems.",others,1.0,"[('279', 'CARDINAL'), ('DT', 'PRODUCT'), ('two', 'CARDINAL')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"It should be stressed that each and every 
perspective assumes organizational change in association with the widespread diffusion 
of digital technologies.",organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Journal of Management Studies published by Society for the Advancement of Management 
Studies and John Wiley & Sons Ltd
related to digital business ecosystems and their relation to organizational designs, to being 
‘broad’ in scope and examining both thematic patterns of DT in a more holistic way.",others,1.0,"[('Journal of Management Studies', 'ORG'), ('Society for the Advancement of Management \nStudies', 'ORG'), ('John Wiley & Sons Ltd', 'PERSON'), ('DT', 'WORK_OF_ART')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"The technology impact perspective on DT combines a weak focus on intra-organizational 
change processes with a narrow contextual scope.",others,1.0,"[('DT', 'ORG')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"When employing the DT perspective of systemic shift, continuous views from popu-
lation and community ecologies (Baum and Rao, 2004) seem adequate for investigat-
ing how new digital organizational forms (Hinings et al., 2018) emerge and become 
institutionalized across fields and ecosystems.",Organizational Change,1.0,"[('DT', 'ORG'), ('Baum', 'ORG'), ('Rao', 'PERSON'), ('2004', 'DATE'), ('Hinings', 'PERSON'), ('2018', 'DATE')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Journal of Management Studies published by Society for the Advancement of Management 
Studies and John Wiley & Sons Ltd
DT, for instance with regard to synthesizing divergent interests both within organizations 
and digital business ecosystems.",others,1.0,"[('Journal of Management Studies', 'ORG'), ('Society for the Advancement of Management \nStudies', 'ORG'), ('John Wiley & Sons Ltd', 'PERSON')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"This dimension can vary along a 
continuum from a ‘weak focus’ to a ‘strong focus’ on intra-organizational change pro-
cesses, depending on the emphasis placed on an organization’s innovation and integra-
tion mechanisms as drivers towards malleable organization designs and digital business 
ecosystems.",organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
‘The significance of context in information systems and organizational change’.,organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Furthermore, 
our analysis of the organizational change literature was tightly coupled to the distinction 
of episodic vs. continuous change.",organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"The systemic shift perspective on DT is employed by studies that have a weak focus 
on intra-organizational change processes, as with the technology impact perspective, 
but combine it with a rather broad contextual scope.",others,1.0,"[('DT', 'WORK_OF_ART')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Third, we propose linkages between the phenomenon of DT and established views in 
management literature on organizational change and innovation and derive important 
avenues for future research.",organizational_architecture,1.0,"[('Third', 'ORDINAL'), ('DT', 'PRODUCT')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Due to the uncertainties about the phenomenon, it is currently unclear whether, and if 
so how knowledge on organizational change can be used to explain DT.",organizational_architecture,4.0,"[('DT', 'WORK_OF_ART')]",Technology and Infrastructure,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Journal of Management Studies published by Society for the Advancement of Management 
Studies and John Wiley & Sons Ltd
pervasive in recent work and sufficiently central in the conceptualization of change’ 
(Weick and Quinn, 1999, p. 362).",others,1.0,"[('Journal of Management Studies', 'ORG'), ('Society for the Advancement of Management \nStudies', 'ORG'), ('John Wiley & Sons Ltd', 'PERSON'), ('Weick', 'GPE'), ('Quinn', 'GPE'), ('1999', 'DATE'), ('362', 'CARDINAL')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"In summary, this perspective provides insights on how firms partially adapt their organi-
zations to specific developments in their digital business ecosystems.",others,1.0,[],Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"•	 How do well-known relationships between institutional 
upheaval and organizational change hold when organi-
zational design becomes malleable in the course of DT?",organizational_architecture,1.0,"[('DT', 'WORK_OF_ART')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
‘Explaining development and change in organizations’.,others,4.0,[],Technology and Infrastructure,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Accordingly, to clarify 
boundary conditions to investigate DT from the perspective of organizational change, 
it seems promising to contrast our findings with the characteristics of episodic and con-
tinuous change, particularly with respect to the ‘different metaphors of the organization, 
analytical frameworks, theories of intervention, and roles attributed to change agents’ 
(Poole, 2004, p. 5).",organizational_architecture,1.0,"[('DT', 'WORK_OF_ART'), ('2004', 'DATE'), ('5', 'CARDINAL')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
